address,floor_area,agent_name,baths,beds,price
"Hanover Court, The Reflector, Grand Canal Dock, Dublin 2",,,,,DEVELOPMENT CURRENTLY SOLD OUT. A Luxury City Lifestyle 
"Lansdowne Place, Lansdowne Place, Ballsbridge, Dublin 4",,,,,Price on Application 
"Egremont, Egremont, Church Road, Killiney, Co. Dublin",,,,,Price on Application 
"245 Cherrywood Lawns, Clondalkin, Dublin 22",80 m²,,1 Bath,3 Bed,"€265,000 "
"Apartment 3, Block C, Brabazon Hall, Dublin 8",66 m²,,1 Bath,1 Bed,"€285,000 "
"25 Shanrath Road, Whitehall, D09C965, Dublin 9",115 m²,,2 Bath,3 Bed,"€475,000 "
"'Cruagh', Cruagh Road, Rathfarnham, Dublin 16",169 m²,,3 Bath,3 Bed,"€1,050,000 "
"4 Belfield Close, Clonskeagh, Dublin 14",124 m²,,,3 Bed,"€825,000 "
"7 Muckross Grove, Perrystown, Dublin 12",94 m²,,,,"€450,000 "
"63 Park View, River Road, Ashtown, Dublin 15",,,2 Bath,2 Bed,"€325,000 "
"15 Glengarriff Parade, Phibsborough, Dublin 7",,,1 Bath,3 Bed,"€325,000 "
"51 Mountpleasant Square, Ranelagh, Dublin 6",207 m²,,3 Bath,4 Bed,"€1,250,000 "
"Apartment 15, Le Hunt House, Brennanstown, Cabinteely, Dublin 18",,,,,"AMV: €415,000 "
"2 Castleview Walk, Swords, Co. Dublin",,,1 Bath,3 Bed,"AMV: €245,000 "
"2 Ravens Court, Church Street, Skerries, Co. Dublin",180 m²,,3 Bath,4 Bed,Price on Application 
"24 Collis Court, Jugback Lane, Swords, Co. Dublin",76 m²,,2 Bath,2 Bed,"€250,000 "
"185 Elm Mount Avenue, Beaumont, Dublin 9",94 m²,,1 Bath,3 Bed,"€415,000 "
"21 Brookville Park, Malahide Road, Artane, Dublin 5",108 m²,,1 Bath,3 Bed,"€595,000 "
"Apartment 3, 10 Harcourt Terrace, Dublin 2",56 m²,,1 Bath,2 Bed,"€475,000 "
"6 Saint John's Road, Clondalkin, Clondalkin, Dublin 22",136 m²,,2 Bath,5 Bed,"€465,000 "
"16 Rugby Villas, Ranelagh, Dublin 6",70 m²,,1 Bath,2 Bed,"€525,000 "
